property_id,abstract_time,total_time,size,1_1
14,0,0.947440863,310,
15,2.658295155,6.410130739,188,
16,,3600,,
17,,3600,,
18,0,1.178324699,310,
19,0,1.127911806,310,
property_id,abstract_time,total_time,size,5_9
0,1.611272335,1.671292782,101,
1,0,1.046051741,310,
2,0,0.915502787,310,
3,1.476528406,1.879364967,99,
4,0,0.963472605,310,
5,0,1.055732727,310,
6,0,1.129320621,310,
7,0,0.81400919,310,
8,0,0.98820281,310,
9,1.447960138,1.590000153,97,
10,2.571141005,2.888627529,145,
11,1.638417482,1.708057165,98,
12,0,1.1082201,310,
13,0,0.831616879,310,
14,0,0.767136812,310,
15,1.532158613,1.735952854,118,
16,0,1.00752902,310,
17,0,1.078733683,310,
18,0,1.005033493,310,
19,0,0.955047846,310,
