property_id,abstract_time,total_time,size,1_1
9,,3600,,
10,,3600,,
11,19.07245,1851.629042,910,
12,,3600,,
13,,3600,,
14,15.04467088,1283.473806,910,
15,15.95831687,1598.066758,910,
16,,3600,,
17,22.60748098,2435.74929,841,
18,,3600,,
19,18.59793312,1856.818602,910,
property_id,abstract_time,total_time,size,3_8
0,20.43859051,2026.506493,910,
1,15.40433377,2402.898827,770,
2,12.87542854,1587.292834,910,
3,12.39168381,2024.734255,848,
4,13.46443665,1710.406222,901,
5,,3600,,
6,18.62750044,1544.674004,910,
7,,3600,,
8,14.20855254,1714.928478,829,
9,11.22712998,2472.785932,826,
10,23.3679456,1951.003492,796,
11,15.1047524,1261.333379,737,
12,,3600,,
13,,3600,,
14,15.46440733,1658.574104,910,
15,21.51841805,1518.479975,793,
16,11.17414938,2461.521192,910,
17,13.75167567,1738.079023,789,
18,,3600,,
19,19.60191925,2081.917812,828,
property_id,abstract_time,total_time,size,3_9
0,14.32401596,1527.960241,910,
1,19.70481053,1279.362621,721,
2,16.48329191,1623.009678,874,
3,14.32382545,3408.85887,855,
4,15.94433528,1402.680685,910,
5,,3600,,
6,16.90589208,1676.309411,898,
7,,3600,,
8,12.98671156,2910.705789,910,
9,15.7737573,1629.958669,910,
10,19.60034718,2394.063914,904,
11,13.14352987,2268.416383,900,
12,16.56953806,2178.165178,832,
13,17.84741368,1621.735335,910,
14,13.06180877,2327.773833,886,
15,13.60682746,1697.712399,785,
16,22.13635393,1676.927401,910,
17,11.63381654,1716.373005,861,
18,11.95956339,1704.013249,910,
19,,3600,,
property_id,abstract_time,total_time,size,4_1
0,13.51381635,3292.355791,910,
1,13.07073196,1539.620984,910,
2,18.09467968,1866.240558,766,
3,17.37052391,1886.181919,910,
4,13.47241697,1534.511709,910,
5,,3600,,
6,10.23803188,1479.812287,852,
7,,3600,,
8,13.74721323,1993.823368,863,
9,14.00118645,1627.955689,889,
10,,3600,,
11,18.17009259,2406.087702,840,
12,18.08027008,1611.281176,850,
13,19.4955964,1828.808476,906,
14,19.35786737,1706.003737,828,
15,18.36086815,660.747047,817,
16,10.72305164,2170.264495,910,
17,16.82649376,1280.510795,742,
18,13.89063317,1730.231557,908,
19,,3600,,
property_id,abstract_time,total_time,size,4_2
0,,3600,,
1,13.97902637,3209.87798,907,
2,21.72688763,533.3261621,910,
3,,3600,,
4,14.12558389,1018.49003,901,
5,,3600,,
6,,3600,,
7,,3600,,
8,,3600,,
9,16.80871817,3117.317459,850,
10,,3600,,
11,,3600,,
12,,3600,,
13,15.70900491,786.4919631,901,
14,12.30070081,2804.583852,893,
15,18.52966686,2967.912809,824,
16,14.29067448,725.0934805,832,
17,,3600,,
18,16.21034324,1440.844658,910,
19,,3600,,
property_id,abstract_time,total_time,size,4_3
0,18.95665091,1833.900692,910,
1,12.37325679,1529.541308,910,
2,14.68325636,1497.798102,858,
3,12.99466713,3061.324251,722,
4,13.67661706,1568.047888,910,
5,14.75879298,2058.637866,910,
6,17.26487531,1241.013834,910,
7,,3600,,
8,16.07331233,2962.517708,910,
9,16.37504935,1908.474331,842,
10,,3600,,
11,19.97060848,3479.164335,910,
12,15.89400856,1961.577818,812,
13,11.04006098,1670.771935,910,
14,23.35234926,1366.952232,879,
15,,3600,,
16,19.1795456,1743.219435,809,
17,13.57418577,1454.879925,757,
18,,3600,,
19,18.58526109,2145.609194,910,
property_id,abstract_time,total_time,size,4_4
0,17.1742318,1697.266873,833,
1,15.7754062,1432.763955,721,
2,18.17910905,1451.072822,910,
3,,3600,,
4,19.13298889,1707.7369,910,
5,9.924156677,2368.615912,910,
6,17.9768053,1468.302525,910,
7,,3600,,
8,,3600,,
9,14.2434931,1708.233364,833,
10,,3600,,
11,17.73135245,3070.129273,910,
12,8.017986282,1695.45183,910,
13,,3600,,
14,14.93897235,1769.944418,712,
15,18.74523017,1377.589301,662,
16,16.97930018,2028.871291,806,
17,14.84079011,1571.316757,910,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,4_5
0,,3600,,
1,,3600,,
2,22.78734469,1896.025714,860,
3,,3600,,
4,20.54915583,1583.539961,910,
5,,3600,,
6,16.34521341,1797.577121,786,
7,,3600,,
8,15.63524529,1396.160923,742,
9,16.57856619,2082.393099,803,
10,7.726591336,2120.350885,910,
11,17.22375883,3576.516364,853,
12,16.65243132,1779.129725,864,
13,21.78823607,2781.536517,910,
14,12.97824828,1673.779971,864,
15,16.47337636,1301.971828,821,
16,17.95892465,1642.408098,910,
17,15.9336633,1788.163208,910,
18,17.13033644,1552.372962,910,
19,13.93041644,1554.739249,862,
property_id,abstract_time,total_time,size,4_6
0,13.97211413,2592.241272,910,
1,20.55474171,1507.932961,843,
2,17.14265474,1409.487961,910,
3,,3600,,
4,16.30351019,1519.374485,910,
5,12.80663658,1116.763346,882,
6,,3600,,
7,,3600,,
8,15.74369114,1399.436752,775,
9,15.32534333,1605.309906,910,
10,,3600,,
11,12.47351398,3593.166661,905,
12,14.62345755,1870.651224,910,
13,13.2676713,3407.04805,910,
14,20.20522372,1579.31905,747,
15,12.87983774,2194.827705,910,
16,19.97365249,1863.305424,910,
17,17.30258125,1623.543706,845,
18,17.01516673,1844.108517,897,
19,13.58435165,2836.345832,910,
property_id,abstract_time,total_time,size,4_7
0,14.03643638,1660.317871,829,
1,14.00283088,1790.235915,744,
2,8.669923025,1761.782907,873,
3,16.25398437,3032.922361,893,
4,11.81143009,1632.92625,690,
5,15.79717538,2982.60026,791,
6,14.53636809,1243.577364,849,
7,,3600,,
8,19.42401893,1543.997636,910,
9,13.20115875,2609.017942,910,
10,18.8755628,2345.704434,748,
11,16.52437486,3146.388163,751,
12,,3600,,
13,,3600,,
14,20.69483092,1510.612467,910,
15,18.33198698,1442.717865,910,
16,15.33349369,1828.478282,910,
17,17.19057682,2910.974743,882,
18,15.3070996,3040.319482,775,
19,,3600,,
property_id,abstract_time,total_time,size,4_8
0,15.33595607,1408.616651,910,
1,19.69737921,1585.913804,910,
2,17.73184327,1263.955169,910,
3,,3600,,
4,15.77347693,1615.472377,892,
5,17.19393925,2506.434426,828,
6,16.93645701,1431.480558,910,
7,18.23925396,627.8265196,897,
8,19.23724478,1594.630878,910,
9,19.7109695,1586.098226,910,
10,,3600,,
11,11.91618698,1265.205117,884,
12,15.87368631,2090.480187,838,
13,17.56551538,1904.864566,910,
14,20.27519471,1527.916321,910,
15,12.62715081,1572.199822,842,
16,11.10484281,1609.757978,747,
17,16.06778527,1624.769397,820,
18,19.18382707,1402.941804,910,
19,,3600,,
property_id,abstract_time,total_time,size,4_9
0,14.73070156,1912.655367,910,
1,9.896930934,1559.847151,910,
2,16.22728308,1658.837424,910,
3,19.85000483,3391.457164,910,
4,15.09965917,1989.293676,616,
5,,3600,,
6,19.64538632,1245.588714,910,
7,,3600,,
8,16.10218815,1644.760913,842,
9,18.72226758,1890.981885,767,
10,,3600,,
11,16.16248343,1312.946954,747,
12,,3600,,
13,,3600,,
14,18.99093606,1551.107573,910,
15,12.66510774,1626.539285,910,
