property_id,network_id,property_id,abstract_time,total_time
12,4_7,12,,3600
13,4_7,13,,3600
14,4_7,14,,3600
15,4_7,15,,3600
16,4_7,16,16.44798079,1156.975013
17,4_7,17,,3600
18,4_7,18,,3600
19,4_7,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,4_8,0,17.31469657,2167.548523
1,4_8,1,,3600
2,4_8,2,18.39141329,1632.389603
3,4_8,3,,3600
4,4_8,4,17.49946379,2981.50598
5,4_8,5,19.44124403,2813.31459
6,4_8,6,20.16513138,1499.815888
7,4_8,7,,3600
8,4_8,8,,3600
9,4_8,9,,3600
10,4_8,10,,3600
11,4_8,11,,3600
12,4_8,12,,3600
13,4_8,13,21.46485658,2322.096873
14,4_8,14,16.310252,1341.44053
15,4_8,15,19.59144516,2981.95435
16,4_8,16,9.061184689,1602.466849
17,4_8,17,,3600
18,4_8,18,,3600
19,4_8,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,4_9,0,,3600
1,4_9,1,,3600
2,4_9,2,,3600
3,4_9,3,19.65716148,3404.965846
4,4_9,4,16.76304653,2031.349408
5,4_9,5,12.22064372,1503.38394
6,4_9,6,16.6448089,3125.009325
7,4_9,7,,3600
8,4_9,8,,3600
9,4_9,9,,3600
10,4_9,10,,3600
11,4_9,11,,3600
12,4_9,12,,3600
13,4_9,13,16.88737238,1478.935238
14,4_9,14,,3600
15,4_9,15,,3600
16,4_9,16,12.89397935,3138.885648
17,4_9,17,,3600
18,4_9,18,,3600
19,4_9,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,5_1,0,,3600
1,5_1,1,20.07125174,3344.54713
2,5_1,2,,3600
3,5_1,3,13.78925817,2128.122509
4,5_1,4,15.55186477,2992.221926
5,5_1,5,17.34878961,1834.277194
6,5_1,6,15.1073924,3115.288227
7,5_1,7,,3600
8,5_1,8,,3600
9,5_1,9,,3600
10,5_1,10,,3600
11,5_1,11,,3600
12,5_1,12,,3600
13,5_1,13,16.11317999,2380.960737
14,5_1,14,17.52548226,2275.260633
15,5_1,15,,3600
16,5_1,16,,3600
17,5_1,17,,3600
18,5_1,18,,3600
19,5_1,19,14.37276307,3582.332826
property_id,network_id,property_id,abstract_time,total_time
0,5_2,0,14.46067993,16.99449287
1,5_2,1,10.22520138,12.73795645
2,5_2,2,13.5625773,15.55076955
3,5_2,3,13.99852664,15.87852906
4,5_2,4,16.92828307,19.36421472
5,5_2,5,17.52023026,20.37023996
6,5_2,6,10.26885765,12.95983628
7,5_2,7,10.46489983,11.98008299
8,5_2,8,18.27777203,20.44442071
9,5_2,9,17.5971876,20.51052547
10,5_2,10,16.377351,18.99942392
11,5_2,11,11.35481199,13.95956865
12,5_2,12,13.11346395,15.04182211
13,5_2,13,11.46543354,13.62880899
14,5_2,14,20.08217669,21.47620622
15,5_2,15,13.20936033,15.52168784
16,5_2,16,10.28269652,12.97055612
17,5_2,17,17.60741062,19.77345832
18,5_2,18,12.68936804,13.82847646
19,5_2,19,13.49888144,15.43755098
property_id,network_id,property_id,abstract_time,total_time
0,5_3,0,,3600
1,5_3,1,13.48006885,2697.318803
2,5_3,2,18.45369725,1480.560159
3,5_3,3,23.43757467,2672.640503
4,5_3,4,16.0504484,1541.013424
5,5_3,5,11.86571484,1633.363429
6,5_3,6,10.9181627,915.7719804
7,5_3,7,19.28650339,2790.225802
8,5_3,8,11.00187863,1486.902045
9,5_3,9,,3600
10,5_3,10,,3600
11,5_3,11,,3600
12,5_3,12,,3600
13,5_3,13,13.32305301,1378.222056
14,5_3,14,15.13730583,2425.043123
15,5_3,15,12.91370845,2394.808476
16,5_3,16,12.17141001,2130.847542
17,5_3,17,,3600
18,5_3,18,,3600
19,5_3,19,17.97935858,2172.256342
property_id,network_id,property_id,abstract_time,total_time
0,5_4,0,,3600
1,5_4,1,,3600
2,5_4,2,16.14952533,1637.510167
3,5_4,3,17.08946756,2041.798858
4,5_4,4,12.64889649,1655.27925
5,5_4,5,,3600
6,5_4,6,,3600
7,5_4,7,17.90531594,2203.094231
8,5_4,8,,3600
9,5_4,9,13.41905083,2062.852463
10,5_4,10,13.82508288,2077.031782
11,5_4,11,,3600
12,5_4,12,,3600
13,5_4,13,18.02731431,1606.5082
14,5_4,14,,3600
15,5_4,15,17.6459365,1549.626524
16,5_4,16,,3600
17,5_4,17,,3600
18,5_4,18,,3600
19,5_4,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,5_5,0,,3600
1,5_5,1,,3600
2,5_5,2,,3600
3,5_5,3,,3600
4,5_5,4,,3600
5,5_5,5,13.63979581,2155.35094
6,5_5,6,18.04977319,2846.835338
7,5_5,7,,3600
8,5_5,8,,3600
9,5_5,9,,3600
10,5_5,10,,3600
11,5_5,11,,3600
12,5_5,12,,3600
13,5_5,13,21.36898485,1788.97618
14,5_5,14,12.26861557,2926.348908
15,5_5,15,,3600
16,5_5,16,,3600
17,5_5,17,,3600
18,5_5,18,,3600
19,5_5,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,5_6,0,,3600
1,5_6,1,,3600
2,5_6,2,,3600
3,5_6,3,,3600
4,5_6,4,,3600
5,5_6,5,23.47143757,2305.330868
6,5_6,6,,3600
7,5_6,7,,3600
8,5_6,8,,3600
9,5_6,9,,3600
10,5_6,10,,3600
11,5_6,11,,3600
12,5_6,12,,3600
13,5_6,13,,3600
14,5_6,14,,3600
15,5_6,15,,3600
16,5_6,16,,3600
17,5_6,17,,3600
18,5_6,18,,3600
19,5_6,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,5_7,0,,3600
1,5_7,1,,3600
2,5_7,2,18.06539577,2038.104399
3,5_7,3,,3600
4,5_7,4,18.42575859,2371.947846
