property_id,abstract_time,total_time,size,1_1
17,,3600,,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,4_6
0,,3600,,
1,,3600,,
2,,3600,,
3,43.12232113,1565.594859,910,
4,,3600,,
5,,3600,,
6,0,2.210779428,910,
7,,3600,,
8,,3600,,
9,,3600,,
10,41.31753659,1517.242469,909,
11,,3600,,
12,,3600,,
13,41.50256252,1962.888824,910,
14,,3600,,
15,,3600,,
16,,3600,,
17,42.92478728,1924.672405,910,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,4_7
0,,3600,,
1,,3600,,
2,,3600,,
3,,3600,,
4,,3600,,
5,,3600,,
6,,3600,,
7,,3600,,
8,,3600,,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,38.00190639,2311.24938,903,
14,43.26484609,1903.745101,899,
15,,3600,,
16,,3600,,
17,43.0613451,1865.071851,901,
18,,3600,,
19,43.19546485,2387.189849,900,
property_id,abstract_time,total_time,size,4_8
0,,3600,,
1,41.66887784,1020.978675,908,
2,,3600,,
3,,3600,,
4,42.71944833,2325.494745,910,
5,42.98126483,3026.989074,910,
6,,3600,,
7,,3600,,
8,42.80893874,770.9819832,906,
9,,3600,,
10,43.23400855,1780.699389,908,
11,,3600,,
12,,3600,,
13,,3600,,
14,42.67990422,2204.040317,910,
15,,3600,,
16,,3600,,
17,41.27078414,1927.707427,910,
18,,3600,,
19,42.68853569,654.4842815,881,
property_id,abstract_time,total_time,size,4_9
0,,3600,,
1,,3600,,
2,,3600,,
3,40.03426433,2821.598953,910,
4,,3600,,
5,42.81593871,2296.312795,910,
6,0,2.189979315,910,
7,,3600,,
8,37.93128371,1505.708086,910,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,,3600,,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,5_1
0,,3600,,
1,41.49269199,2472.393261,910,
2,,3600,,
3,41.84692049,2665.227432,910,
4,,3600,,
5,,3600,,
6,,3600,,
7,,3600,,
8,,3600,,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,41.67806482,2415.863566,910,
18,,3600,,
19,41.85566473,2476.220655,908,
property_id,abstract_time,total_time,size,5_2
0,0,2.255161285,910,
1,0,2.269194603,910,
2,0,2.242876768,910,
3,0,2.24635005,910,
4,0,2.247688532,910,
5,0,2.189322472,910,
6,0,2.192828417,910,
7,0,2.186285973,910,
8,0,2.178524017,910,
9,0,2.181409359,910,
10,0,2.281829357,910,
11,0,2.267326593,910,
12,0,2.260099173,910,
13,0,2.27473402,910,
14,0,2.271572113,910,
15,0,2.307264566,910,
16,0,2.282702923,910,
17,0,2.301908016,910,
18,0,2.289178371,910,
19,0,2.272623062,910,
property_id,abstract_time,total_time,size,5_3
0,,3600,,
1,41.718189,763.6071286,909,
2,,3600,,
3,41.84613061,3233.471035,910,
4,41.99689937,842.99897,910,
5,,3600,,
6,,3600,,
7,,3600,,
8,41.50547767,1033.023083,910,
9,41.22487354,2012.378733,910,
10,42.63220859,1545.244353,910,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,42.59033489,2214.750285,908,
16,,3600,,
17,41.07296896,1498.622631,910,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,5_4
0,,3600,,
1,42.97814202,2357.964365,910,
2,,3600,,
3,44.15431094,2084.582332,910,
4,,3600,,
5,,3600,,
6,,3600,,
7,,3600,,
8,,3600,,
9,,3600,,
10,,3600,,
11,,3600,,
12,43.53553224,976.646332,910,
13,43.39913416,1280.320701,910,
14,41.01144695,1930.925701,910,
15,,3600,,
16,,3600,,
17,43.41098285,875.244725,910,
18,40.20236826,1142.442452,910,
19,,3600,,
property_id,abstract_time,total_time,size,5_5
0,,3600,,
1,,3600,,
2,,3600,,
3,42.95311356,3538.82353,910,
4,,3600,,
5,,3600,,
6,0,2.42861867,910,
7,,3600,,
8,,3600,,
9,,3600,,
10,41.08445454,1525.767247,910,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,40.97749496,746.4023325,908,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,5_6
0,,3600,,
1,,3600,,
2,,3600,,
3,42.16926265,2952.360618,910,
4,,3600,,
5,,3600,,
6,41.86312532,2317.982706,908,
7,,3600,,
8,,3600,,
9,42.56841612,1919.534564,910,
10,42.15653014,824.957974,907,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,42.39083195,1634.831923,910,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,5_7
0,,3600,,
1,41.99846244,3040.9965,910,
2,,3600,,
3,41.60059977,1013.530213,910,
4,,3600,,
5,,3600,,
6,0,2.475080729,910,
7,,3600,,
