property_id,property_id,abstract_time,total_time,size
15,15,3.685140371,77.65001798,220
16,16,2.917743921,282.1963153,216
17,17,2.576563835,4.671891928,182
18,18,3.329835415,553.0473235,212
19,19,5.082131147,36.3460629,231
property_id,property_id,abstract_time,total_time,size
0,0,3.52822876,69.44142222,212
1,1,1.76820159,2.67121172,148
2,2,4.90100193,23.97343946,194
3,3,2.780141115,5.577861071,183
4,4,2.920302391,90.22414899,207
5,5,4.931887865,33.0795083,221
6,6,3.497233391,9.559506416,231
7,7,2.886974812,250.8064837,216
8,8,3.584836006,24.68413353,204
9,9,2.986449003,36.18429327,208
10,10,4.446306944,9.993177652,211
11,11,2.763400555,64.6733284,217
12,12,2.066618681,3.161083698,143
13,13,2.931468725,81.7649436,190
14,14,3.36316061,24.73255873,212
15,15,3.896826982,40.02931643,203
16,16,4.394747257,522.0644891,229
17,17,2.577697277,7.445070982,187
18,18,2.526210546,13.27955818,180
19,19,2.742072821,257.7087362,223
property_id,property_id,abstract_time,total_time,size
0,0,3.907642365,551.9193687,245
1,1,2.564980507,64.72431707,225
2,2,3.736937761,571.6761122,237
3,3,2.790546894,8.278026581,215
4,4,3.861179113,24.16508985,244
5,5,3.442082167,529.898994,238
6,6,2.495425701,9.308212996,258
7,7,3.008407593,519.9056108,219
8,8,3.288134098,257.0519469,224
9,9,3.160064697,204.746541,233
10,10,2.722388268,8.581945658,200
11,11,4.234964371,369.2224469,239
12,12,2.12911725,375.5771635,207
13,13,3.730878592,151.7987776,225
14,14,5.091671228,721.8384476,237
15,15,2.48491621,203.8044302,241
16,16,3.028197289,1633.107862,249
17,17,2.879565001,54.89146304,214
18,18,3.14481926,162.800391,230
19,19,2.563102722,87.86348557,243
property_id,property_id,abstract_time,total_time,size
0,0,5.689590931,22.85097671,234
1,1,2.477169514,8.053043127,214
2,2,3.863080502,291.6950884,235
3,3,2.593185186,26.24013209,204
4,4,2.277954102,46.3491509,193
5,5,5.769991636,982.2691412,236
6,6,2.84618187,16.32053304,242
7,7,4.600622416,80.15624309,244
8,8,2.584624529,28.53368092,206
9,9,6.697046041,9.937314987,236
10,10,2.01539731,7.600646734,192
11,11,5.001048088,10.3422091,235
12,12,4.220546246,62.60251069,229
13,13,2.705012798,27.94829059,211
14,14,3.883491039,206.4959416,229
15,15,3.56848979,54.2176435,226
16,16,5.691630363,1393.050602,246
17,17,2.405516386,5.536554337,186
18,18,3.747991562,13.42580628,241
19,19,2.297777653,12.12013245,193
property_id,property_id,abstract_time,total_time,size
0,0,3.043600798,20.64883661,242
1,1,2.81994319,25.87464976,230
2,2,4.494014263,11.6199472,238
3,3,2.629290581,4.012600183,204
4,4,2.937770844,5.980501652,235
5,5,3.140436172,10.91743827,225
6,6,3.060251713,67.85536504,247
7,7,2.395698786,6.571783781,237
8,8,3.094370365,23.17379045,228
9,9,3.131273031,8.534002781,235
10,10,3.056020975,11.49551487,242
11,11,2.759097099,12.36157966,247
12,12,3.380584002,16.35979462,238
13,13,2.338377953,13.47371435,200
14,14,2.370315313,8.822556973,236
15,15,3.833653688,9.206196785,242
16,16,3.669348717,7.843499899,249
17,17,2.54671216,7.12215662,203
